date,inception_return,one_day_return,one_month_return,one_week_return,one_year_return,portfolio,ytd_return
2024-04-18,23.3356,-0.3012,0.181082,-1.49948,22.4092,core,8.27551
2024-04-17,23.7082,-0.0256021,0.86885,-0.607916,23.0635,core,8.60262
2024-04-16,23.7399,-0.0236023,0.873845,-1.19215,23.4146,core,8.63043
2024-04-15,23.7691,-0.493625,0.89766,-1.1342,24.0683,core,8.65608
2024-04-12,24.3831,-0.662912,1.21634,-0.339564,23.409,core,9.19509
2024-04-11,25.2131,0.601206,2.1193,1.20892,24.6906,core,9.92379
2024-04-10,24.4648,-0.613256,1.73996,-0.246663,23.433,core,9.26687
2024-04-09,25.2328,0.035035,2.37549,0.718066,24.7713,core,9.94109
2024-04-08,25.189,0.306155,2.33963,0.492585,25.393,core,9.90259
2024-04-05,24.8069,0.880552,1.6038,-0.448277,25.0103,core,9.56714
2024-04-04,23.7175,-0.845641,1.30826,-1.31723,23.9624,core,8.61077
2024-04-03,24.7726,0.347927,1.87388,-0.448278,25.0001,core,9.53706
2024-04-02,24.34,-0.188916,1.31648,-0.254238,23.2238,core,9.15727
2024-04-01,24.5753,-0.632962,1.50824,-0.161055,23.5479,core,9.36388
2024-03-28,25.3689,0.0274635,3.8517,1.23294,25.49,core,10.0605
2024-03-27,25.3344,0.543519,4.64785,0.988129,26.0949,core,10.0303
2024-03-26,24.6569,-0.0956728,4.03922,1.25435,24.8503,core,9.4355
2024-03-25,24.7763,0.460865,4.13885,1.73975,25.106,core,9.5403
2024-03-22,24.2039,0.292231,4.77312,1.25211,25.3146,core,9.03778
2024-03-21,23.842,-0.214431,4.53645,1.41299,24.9593,core,8.72007
2024-03-20,24.1081,0.80857,4.61912,0.99258,24.0569,core,8.9537
2024-03-19,23.1126,0.383257,3.77998,0.406233,23.872,core,8.0798
2024-03-18,22.6426,-0.0206511,3.38376,0.250441,24.5613,core,7.66716
2024-03-15,22.6679,0.451592,3.34658,0.278742,22.8795,core,7.6894
2024-03-14,22.1165,-0.628099,4.4415,-0.833345,23.7442,core,7.20527
2024-03-13,22.8883,0.223291,3.83963,0.0419419,23.2091,core,7.88288
2024-03-12,22.6145,0.227501,3.51944,0.405116,23.7701,core,7.64252
2024-03-11,22.3362,0.0075736,3.28447,-0.115358,22.2574,core,7.39819
2024-03-08,22.327,-0.662412,2.9959,-0.323802,20.9703,core,7.39005
2024-03-07,23.1427,0.249,3.71999,0.975353,20.5953,core,8.10616
2024-03-06,22.8368,0.587123,4.34814,1.0345,21.5617,core,7.83765
2024-03-05,22.1198,-0.292052,3.41795,1.16029,19.6492,core,7.2082
2024-03-04,22.4775,-0.201127,3.72087,2.26246,19.6366,core,7.52222
2024-03-01,22.7243,0.63233,4.64252,2.4263,21.2676,core,7.73892
2024-02-29,21.9532,0.307722,3.49956,2.20992,20.5726,core,7.06193
2024-02-28,21.5791,0.712355,3.1644,2.55895,20.5775,core,6.73349
2024-02-27,20.7191,0.794297,2.8316,1.90042,19.478,core,5.97855
2024-02-26,19.7678,-0.0412411,2.02125,0.9604,19.089,core,5.14339
2024-02-23,19.8172,0.419744,2.93885,1.00205,18.3556,core,5.18677
2024-02-22,19.3164,0.65026,2.38062,-0.0402834,18.4506,core,4.7471
2024-02-21,18.5455,0.065681,1.99966,-0.126499,18.3295,core,4.07038
2024-02-20,18.4677,-0.13552,1.93205,1.32088,16.1949,core,4.00207
2024-02-16,18.6285,-0.616585,3.15465,0.154158,17.0055,core,4.1432
2024-02-15,19.3645,0.563449,3.37135,0.799421,17.119,core,4.78932
2024-02-14,18.6957,1.51585,2.44808,-0.06152,16.7952,core,4.20219
2024-02-13,16.9233,-1.20076,1.12755,-1.51842,14.4847,core,2.64623
2024-02-12,18.3443,-0.0857438,2.3566,0.531858,16.2648,core,3.89374
2024-02-09,18.4459,0.023712,2.67736,0.306677,16.6744,core,3.9829
2024-02-08,18.4178,-0.295477,3.18197,-0.0375358,16.3008,core,3.95825
2024-02-07,18.7688,0.035953,3.28389,1.26974,15.4633,core,4.26634
2024-02-06,18.7261,0.856131,3.86256,0.760763,16.4142,core,4.22886
2024-02-05,17.7182,-0.309541,2.9809,-0.111648,15.303,core,3.3441
2024-02-02,18.0838,-0.31953,3.6624,0.58674,14.8121,core,3.66499
2024-02-01,18.4623,1.00843,3.99729,0.640222,15.8211,core,3.99729
2024-01-31,17.2796,-0.466828,2.4396,0.758705,14.8529,core,2.95902
2024-01-30,17.8297,-0.0171048,2.92006,1.10492,17.3172,core,3.44192
2024-01-29,17.8498,0.387463,2.93767,1.40105,16.3938,core,3.45961
2024-01-26,17.395,-0.26653,2.57004,1.00902,15.4848,core,3.06029
2024-01-25,17.7087,1.12735,2.30422,1.85206,16.4619,core,3.33571
2024-01-24,16.3965,-0.124824,1.30279,1.21379,15.1789,core,2.18375
2024-01-23,16.542,0.275736,1.42939,0.927013,15.4507,core,2.31146
2024-01-22,16.2215,-0.000648077,1.15049,0.312574,15.2176,core,2.03012
2024-01-19,16.2223,0.565869,1.36316,0.521205,16.1977,core,2.03078
2024-01-18,15.5683,0.493619,-0.297702,0.153024,15.4612,core,1.45667
2024-01-17,15.0006,-0.407811,-0.0204185,-0.309249,14.1009,core,0.958321
2024-01-16,15.4715,-0.334738,0.415192,0.614753,14.2907,core,1.37173
2024-01-15,15.8594,0.207331,0.752449,0.75382,14.835,core,1.7122
2024-01-12,15.6196,0.197525,0.46574,1.14503,14.2772,core,1.50175
2024-01-11,15.3917,0.0297741,1.60603,1.10769,14.4586,core,1.30166
2024-01-10,15.3574,0.515278,1.7518,1.26897,15.7482,core,1.2715
2024-01-09,14.766,-0.196983,1.40157,0.752348,15.3702,core,0.752348
2024-01-08,14.9925,0.596417,1.60171,0.441918,14.7337,core,0.951206
2024-01-05,14.3108,0.160537,1.32656,-0.153583,16.7034,core,0.352685
2024-01-04,14.1275,0.189338,1.21133,-0.354542,14.2712,core,0.19184
2024-01-03,13.9119,0.00249718,1.40793,-0.473211,16.3204,core,0.00249718
2024-01-02,13.909,-0.504488,0.746793,-0.998195,16.4504,core,-
2023-12-29,14.4866,-0.0410542,2.19981,-0.359458,16.1926,core,16.9072
2023-12-28,14.5336,0.0700205,2.31774,-0.6854,18.328,core,16.9552
2023-12-27,14.4535,-0.524996,2.1833,-0.179488,16.8594,core,16.8734
2023-12-26,15.0575,0.137434,2.4619,-0.73836,16.6589,core,17.4902
2023-12-22,14.8996,-0.368037,2.3037,-0.0821663,17.0271,core,17.329
2023-12-21,15.324,0.579781,2.92628,-0.274271,16.6845,core,17.7624
2023-12-20,14.6593,-1.08193,2.35449,-0.368766,16.893,core,17.0836
2023-12-19,15.9134,0.773103,3.7319,2.06536,17.6962,core,18.3642
2023-12-18,15.0241,0.0261115,2.9361,1.45785,16.5717,core,17.4561
